realtime_start,realtime_end,date,value
2019-12-06,2019-12-06,1999-10-01,5241.0
2019-12-06,2019-12-06,2000-01-01,5553.0
2019-12-06,2019-12-06,2000-04-01,6059.0
2019-12-06,2019-12-06,2000-07-01,6892.0
2019-12-06,2019-12-06,2000-10-01,9104.0
2019-12-06,2019-12-06,2001-01-01,7923.0
2019-12-06,2019-12-06,2001-04-01,7816
2019-12-06,2019-12-06,2001-07-01,7737.0
2019-12-06,2019-12-06,2001-10-01,10784.0
2019-12-06,2019-12-06,2002-01-01,9621.0
2019-12-06,2019-12-06,2002-04-01,10076.0
2019-12-06,2019-12-06,2002-07-01,10760.0
2019-12-06,2019-12-06,2002-10-01,14166.0
2019-12-06,2019-12-06,2003-01-01,12358.0
2019-12-06,2019-12-06,2003-04-01,12973.0
2019-12-06,2019-12-06,2003-07-01,13909.0
2019-12-06,2019-12-06,2003-10-01,17915.0
2019-12-06,2019-12-06,2004-01-01,16201.0
2019-12-06,2019-12-06,2004-04-01,16502.0
2019-12-06,2019-12-06,2004-07-01,17371.0
2019-12-06,2019-12-06,2004-10-01,22523.0
2019-12-06,2019-12-06,2005-01-01,20142.0
2019-12-06,2019-12-06,2005-04-01,20953.0
2019-12-06,2019-12-06,2005-07-01,22171.0
2019-12-06,2019-12-06,2005-10-01,28121.0
2019-12-06,2019-12-06,2006-01-01,25490.0
2019-12-06,2019-12-06,2006-04-01,25817.0
2019-12-06,2019-12-06,2006-07-01,26892.0
2019-12-06,2019-12-06,2006-10-01,35135.0
2019-12-06,2019-12-06,2007-01-01,30403.0
2019-12-06,2019-12-06,2007-04-01,31589.0
2019-12-06,2019-12-06,2007-07-01,32352.0
2019-12-06,2019-12-06,2007-10-01,42126.0
2019-12-06,2019-12-06,2008-01-01,34270.0
2019-12-06,2019-12-06,2008-04-01,34260
2019-12-06,2019-12-06,2008-07-01,33486.0
2019-12-06,2019-12-06,2008-10-01,39576.0
2019-12-06,2019-12-06,2009-01-01,32284.0
2019-12-06,2019-12-06,2009-04-01,32924
2019-12-06,2019-12-06,2009-07-01,34494.0
2019-12-06,2019-12-06,2009-10-01,45805.0
2019-12-06,2019-12-06,2010-01-01,37059.0
2019-12-06,2019-12-06,2010-04-01,38467.0
2019-12-06,2019-12-06,2010-07-01,40075.0
2019-12-06,2019-12-06,2010-10-01,54320.0
2019-12-06,2019-12-06,2011-01-01,44243.0
2019-12-06,2019-12-06,2011-04-01,45426.0
2019-12-06,2019-12-06,2011-07-01,46159.0
2019-12-06,2019-12-06,2011-10-01,64435.0
2019-12-06,2019-12-06,2012-01-01,51722.0
2019-12-06,2019-12-06,2012-04-01,52542.0
2019-12-06,2019-12-06,2012-07-01,53832.0
2019-12-06,2019-12-06,2012-10-01,73827.0
2019-12-06,2019-12-06,2013-01-01,58355.0
2019-12-06,2019-12-06,2013-04-01,60181.0
2019-12-06,2019-12-06,2013-07-01,61344.0
2019-12-06,2019-12-06,2013-10-01,83766.0
2019-12-06,2019-12-06,2014-01-01,66148.0
2019-12-06,2019-12-06,2014-04-01,69715.0
2019-12-06,2019-12-06,2014-07-01,71331.0
2019-12-06,2019-12-06,2014-10-01,95830.0
2019-12-06,2019-12-06,2015-01-01,75918.0
2019-12-06,2019-12-06,2015-04-01,79916.0
2019-12-06,2019-12-06,2015-07-01,81769.0
2019-12-06,2019-12-06,2015-10-01,109362.0
2019-12-06,2019-12-06,2016-01-01,86811.0
2019-12-06,2019-12-06,2016-04-01,91969.0
2019-12-06,2019-12-06,2016-07-01,93830.0
2019-12-06,2019-12-06,2016-10-01,124697.0
2019-12-06,2019-12-06,2017-01-01,99805.0
2019-12-06,2019-12-06,2017-04-01,107094.0
2019-12-06,2019-12-06,2017-07-01,108905.0
2019-12-06,2019-12-06,2017-10-01,145230.0
2019-12-06,2019-12-06,2018-01-01,115602.0
2019-12-06,2019-12-06,2018-04-01,122934.0
2019-12-06,2019-12-06,2018-07-01,124214.0
2019-12-06,2019-12-06,2018-10-01,160894.0
2019-12-06,2019-12-06,2019-01-01,129015.0
2019-12-06,2019-12-06,2019-04-01,139647.0
2019-12-06,2019-12-06,2019-07-01,145740.0
